case_id,repository,symbol_name,memory_statement,annotation_label (VALID/STALE/UNCERTAIN),rationale
v2_case_021_click__detect_program_name_cat_a,click,_detect_program_name,Symbol `_detect_program_name` defines core implementation in `src/click/utils.py`.,,
v2_case_022_click__expand_args_cat_a,click,_expand_args,Symbol `_expand_args` defines core implementation in `src/click/utils.py`.,,
v2_case_023_click__make_default_short_help_cat_a,click,_make_default_short_help,Symbol `_make_default_short_help` defines core implementation in `src/click/utils.py`.,,
v2_case_024_click__posixify_cat_a,click,_posixify,Symbol `_posixify` defines core implementation in `src/click/utils.py`.,,
v2_case_025_click__LazyFile_cat_d_mod,click,_LazyFile,Symbol `_LazyFile` in `src/click/utils.py` provides legacy behavior and arguments from base state.,,
v2_case_026_click___getattr___cat_d_mod,click,__getattr__,Symbol `__getattr__` in `src/click/utils.py` provides legacy behavior and arguments from base state.,,
v2_case_027_click__safecall_cat_d_mod,click,_safecall,Symbol `_safecall` in `src/click/utils.py` provides legacy behavior and arguments from base state.,,
v2_case_028_click_get_binary_stream_cat_d_rem,click,get_binary_stream,Symbol `get_binary_stream` is available directly in `src/click/utils.py`.,,
v2_case_029_click_get_text_stream_cat_d_rem,click,get_text_stream,Symbol `get_text_stream` is available directly in `src/click/utils.py`.,,
v2_case_030_flask_F_cat_a,flask,F,Symbol `F` defines core implementation in `src/flask/app.py`.,,
v2_case_031_flask_Flask_cat_d_mod,flask,Flask,Symbol `Flask` in `src/flask/app.py` provides legacy behavior and arguments from base state.,,
v2_case_032_flask_Flask_full_dispatch_request_cat_d_mod,flask,Flask.full_dispatch_request,Symbol `Flask.full_dispatch_request` in `src/flask/app.py` provides legacy behavior and arguments from base state.,,
v2_case_033_flask_Flask_wsgi_app_cat_d_mod,flask,Flask.wsgi_app,Symbol `Flask.wsgi_app` in `src/flask/app.py` provides legacy behavior and arguments from base state.,,
v2_case_034_werkzeug_ImportStringError_cat_a,werkzeug,ImportStringError,Symbol `ImportStringError` defines core implementation in `src/werkzeug/utils.py`.,,
v2_case_035_werkzeug_environ_property_cat_d_rem,werkzeug,environ_property,Symbol `environ_property` is available directly in `src/werkzeug/utils.py`.,,
v2_case_036_werkzeug_environ_property_lookup_cat_d_rem,werkzeug,environ_property.lookup,Symbol `environ_property.lookup` is available directly in `src/werkzeug/utils.py`.,,
v2_case_037_werkzeug_environ_property_read_only_cat_d_rem,werkzeug,environ_property.read_only,Symbol `environ_property.read_only` is available directly in `src/werkzeug/utils.py`.,,
v2_case_038_jinja___version___cat_d_rem,jinja,__version__,Symbol `__version__` is available directly in `src/jinja2/__init__.py`.,,
v2_case_039_itsdangerous___getattr___cat_d_rem,itsdangerous,__getattr__,Symbol `__getattr__` is available directly in `src/itsdangerous/__init__.py`.,,
v2_case_040_markupsafe_EscapeFormatter_cat_a,markupsafe,EscapeFormatter,Symbol `EscapeFormatter` defines core implementation in `src/markupsafe/__init__.py`.,,
v2_case_041_markupsafe___getattr___cat_d_rem,markupsafe,__getattr__,Symbol `__getattr__` is available directly in `src/markupsafe/__init__.py`.,,
v2_case_042_pluggy_HookCaller_cat_a,pluggy,HookCaller,Symbol `HookCaller` defines core implementation in `src/pluggy/_hooks.py`.,,
v2_case_043_pluggy_varnames_cat_d_mod,pluggy,varnames,Symbol `varnames` in `src/pluggy/_hooks.py` provides legacy behavior and arguments from base state.,,
v2_case_044_attrs_Attribute_cat_a,attrs,Attribute,Symbol `Attribute` defines core implementation in `src/attr/_make.py`.,,
v2_case_045_attrs_Attribute_evolve_cat_d_mod,attrs,Attribute.evolve,Symbol `Attribute.evolve` in `src/attr/_make.py` provides legacy behavior and arguments from base state.,,
v2_case_046_virtualenv_CPython3_cat_a,virtualenv,CPython3,Symbol `CPython3` defines core implementation in `src/virtualenv/create/via_global_ref/builtin/cpython/cpython3.py`.,,
v2_case_047_virtualenv_CPython3Posix_cat_d_mod,virtualenv,CPython3Posix,Symbol `CPython3Posix` in `src/virtualenv/create/via_global_ref/builtin/cpython/cpython3.py` provides legacy behavior and arguments from base state.,,
v2_case_048_virtualenv_CPython3Posix_env_patch_text_cat_d_rem,virtualenv,CPython3Posix.env_patch_text,Symbol `CPython3Posix.env_patch_text` is available directly in `src/virtualenv/create/via_global_ref/builtin/cpython/cpython3.py`.,,
v2_case_049_virtualenv_CPython3Posix_pyvenv_launch_patch_active_cat_d_rem,virtualenv,CPython3Posix.pyvenv_launch_patch_active,Symbol `CPython3Posix.pyvenv_launch_patch_active` is available directly in `src/virtualenv/create/via_global_ref/builtin/cpython/cpython3.py`.,,
v2_case_050_httpx_ACCEPT_ENCODING_cat_a,httpx,ACCEPT_ENCODING,Symbol `ACCEPT_ENCODING` defines core implementation in `httpx/_client.py`.,,
v2_case_051_httpx_AsyncClient_cat_d_mod,httpx,AsyncClient,Symbol `AsyncClient` in `httpx/_client.py` provides legacy behavior and arguments from base state.,,
v2_case_052_requests_CONTENT_CHUNK_SIZE_cat_a,requests,CONTENT_CHUNK_SIZE,Symbol `CONTENT_CHUNK_SIZE` defines core implementation in `requests/models.py`.,,
v2_case_053_requests_Response_cat_d_mod,requests,Response,Symbol `Response` in `requests/models.py` provides legacy behavior and arguments from base state.,,
v2_case_054_urllib3_BaseHTTPResponse_CONTENT_DECODERS_cat_a,urllib3,BaseHTTPResponse.CONTENT_DECODERS,Symbol `BaseHTTPResponse.CONTENT_DECODERS` defines core implementation in `src/urllib3/response.py`.,,
v2_case_055_urllib3_BaseHTTPResponse_cat_d_mod,urllib3,BaseHTTPResponse,Symbol `BaseHTTPResponse` in `src/urllib3/response.py` provides legacy behavior and arguments from base state.,,
v2_case_056_urllib3_BaseHTTPResponse_getheader_cat_d_rem,urllib3,BaseHTTPResponse.getheader,Symbol `BaseHTTPResponse.getheader` is available directly in `src/urllib3/response.py`.,,
v2_case_057_urllib3_BaseHTTPResponse_getheaders_cat_d_rem,urllib3,BaseHTTPResponse.getheaders,Symbol `BaseHTTPResponse.getheaders` is available directly in `src/urllib3/response.py`.,,
v2_case_058_starlette_NotModifiedResponse_cat_a,starlette,NotModifiedResponse,Symbol `NotModifiedResponse` defines core implementation in `starlette/staticfiles.py`.,,
v2_case_059_starlette_StaticFiles_cat_d_mod,starlette,StaticFiles,Symbol `StaticFiles` in `starlette/staticfiles.py` provides legacy behavior and arguments from base state.,,
v2_case_060_fastapi_APIRoute_cat_a,fastapi,APIRoute,Symbol `APIRoute` defines core implementation in `fastapi/routing.py`.,,
v2_case_061_fastapi_APIRouter_cat_d_mod,fastapi,APIRouter,Symbol `APIRouter` in `fastapi/routing.py` provides legacy behavior and arguments from base state.,,
v2_case_062_more-itertools_AbortThread_cat_a,more-itertools,AbortThread,Symbol `AbortThread` defines core implementation in `more_itertools/more.py`.,,
v2_case_063_more-itertools___all___cat_d_mod,more-itertools,__all__,Symbol `__all__` in `more_itertools/more.py` provides legacy behavior and arguments from base state.,,
v2_case_064_more-itertools_zip_equal_cat_d_rem,more-itertools,zip_equal,Symbol `zip_equal` is available directly in `more_itertools/more.py`.,,
v2_case_065_rich_FileProxy___getattr___cat_a,rich,FileProxy.__getattr__,Symbol `FileProxy.__getattr__` defines core implementation in `rich/file_proxy.py`.,,
v2_case_066_rich_FileProxy_cat_d_mod,rich,FileProxy,Symbol `FileProxy` in `rich/file_proxy.py` provides legacy behavior and arguments from base state.,,
v2_case_067_celery_SERIES_cat_a,celery,SERIES,Symbol `SERIES` defines core implementation in `celery/__init__.py`.,,
v2_case_068_celery___all___cat_d_mod,celery,__all__,Symbol `__all__` in `celery/__init__.py` provides legacy behavior and arguments from base state.,,
v2_case_069_marshmallow___all___cat_d_mod,marshmallow,__all__,Symbol `__all__` in `src/marshmallow/__init__.py` provides legacy behavior and arguments from base state.,,
v2_case_070_flake8_FLAKE8_PYFLAKES_CODES_cat_a,flake8,FLAKE8_PYFLAKES_CODES,Symbol `FLAKE8_PYFLAKES_CODES` defines core implementation in `src/flake8/plugins/pyflakes.py`.,,
v2_case_071_flake8_FlakesChecker_cat_d_mod,flake8,FlakesChecker,Symbol `FlakesChecker` in `src/flake8/plugins/pyflakes.py` provides legacy behavior and arguments from base state.,,
v2_case_072_iniconfig_IniConfig___contains___cat_a,iniconfig,IniConfig.__contains__,Symbol `IniConfig.__contains__` defines core implementation in `src/iniconfig/__init__.py`.,,
v2_case_073_iniconfig_IniConfig_cat_d_mod,iniconfig,IniConfig,Symbol `IniConfig` in `src/iniconfig/__init__.py` provides legacy behavior and arguments from base state.,,
v2_case_074_packaging_CmpKey_cat_a,packaging,CmpKey,Symbol `CmpKey` defines core implementation in `packaging/version.py`.,,
v2_case_075_packaging_VersionComparisonMethod_cat_d_mod,packaging,VersionComparisonMethod,Symbol `VersionComparisonMethod` in `packaging/version.py` provides legacy behavior and arguments from base state.,,
v2_case_076_packaging_LegacyCmpKey_cat_d_rem,packaging,LegacyCmpKey,Symbol `LegacyCmpKey` is available directly in `packaging/version.py`.,,
v2_case_077_dateutil___deprecate_private_class_cat_a,dateutil,__deprecate_private_class,Symbol `__deprecate_private_class` defines core implementation in `dateutil/parser/__init__.py`.,,
v2_case_078_dateutil___all___cat_d_mod,dateutil,__all__,Symbol `__all__` in `dateutil/parser/__init__.py` provides legacy behavior and arguments from base state.,,
v2_case_079_tqdm___all___cat_a,tqdm,__all__,Symbol `__all__` defines core implementation in `tqdm/asyncio.py`.,,
v2_case_080_tqdm_tqdm_asyncio_cat_d_mod,tqdm,tqdm_asyncio,Symbol `tqdm_asyncio` in `tqdm/asyncio.py` provides legacy behavior and arguments from base state.,,
v2_case_081_cachelib_BaseCache_clear_cat_a,cachelib,BaseCache.clear,Symbol `BaseCache.clear` defines core implementation in `src/cachelib/base.py`.,,
v2_case_082_cachelib_BaseCache_cat_d_mod,cachelib,BaseCache,Symbol `BaseCache` in `src/cachelib/base.py` provides legacy behavior and arguments from base state.,,
v2_case_083_uvicorn_WSGIResponder_cat_a,uvicorn,WSGIResponder,Symbol `WSGIResponder` defines core implementation in `uvicorn/middleware/wsgi.py`.,,
v2_case_084_uvicorn_WSGIMiddleware_cat_d_rem,uvicorn,WSGIMiddleware,Symbol `WSGIMiddleware` is available directly in `uvicorn/middleware/wsgi.py`.,,
v2_case_085_rich_COLOR_SYSTEMS_cat_a,rich,COLOR_SYSTEMS,Symbol `COLOR_SYSTEMS` defines core implementation in `rich/console.py`.,,
v2_case_086_rich_group_cat_d_mod,rich,group,Symbol `group` in `rich/console.py` provides legacy behavior and arguments from base state.,,
v2_case_087_rich_RenderGroup_cat_d_rem,rich,RenderGroup,Symbol `RenderGroup` is available directly in `rich/console.py`.,,
v2_case_088_marshmallow_BaseSchema_cat_a,marshmallow,BaseSchema,Symbol `BaseSchema` defines core implementation in `src/marshmallow/schema.py`.,,
v2_case_089_marshmallow_Schema_cat_d_mod,marshmallow,Schema,Symbol `Schema` in `src/marshmallow/schema.py` provides legacy behavior and arguments from base state.,,
v2_case_090_starlette_HTTPException___repr___cat_a,starlette,HTTPException.__repr__,Symbol `HTTPException.__repr__` defines core implementation in `starlette/exceptions.py`.,,
v2_case_091_starlette_HTTPException_cat_d_mod,starlette,HTTPException,Symbol `HTTPException` in `starlette/exceptions.py` provides legacy behavior and arguments from base state.,,
v2_case_092_starlette___all___cat_d_rem,starlette,__all__,Symbol `__all__` is available directly in `starlette/exceptions.py`.,,
v2_case_093_pluggy_PluginManager___init___cat_a,pluggy,PluginManager.__init__,Symbol `PluginManager.__init__` defines core implementation in `src/pluggy/_manager.py`.,,
v2_case_094_pluggy_PluginManager_cat_d_mod,pluggy,PluginManager,Symbol `PluginManager` in `src/pluggy/_manager.py` provides legacy behavior and arguments from base state.,,
v2_case_095_fastapi_ParamDetails_cat_a,fastapi,ParamDetails,Symbol `ParamDetails` defines core implementation in `fastapi/dependencies/utils.py`.,,
v2_case_096_fastapi_get_dependant_cat_d_mod,fastapi,get_dependant,Symbol `get_dependant` in `fastapi/dependencies/utils.py` provides legacy behavior and arguments from base state.,,
v2_case_097_click_command_cat_b,click,click.Command,Command represents a CLI command with parameter parsing and callback execution.,,
v2_case_098_werkzeug_request_cat_b,werkzeug,werkzeug.Request,Request object wraps WSGI environment dictionary providing request attributes.,,
v2_case_099_attrs_attrib_cat_b,attrs,attrs.attrib,attrib defines an attribute on an attrs-decorated class with defaults.,,
v2_case_100_httpx_client_cat_b,httpx,httpx.Client,Client provides synchronous HTTP client session management with connection pooling.,,
v2_case_101_rich_console_cat_b,rich,rich.Console,"Console coordinates terminal formatting, text styling, and renderable output.",,
v2_case_102_urllib3_poolmanager_cat_b,urllib3,urllib3.PoolManager,PoolManager coordinates connection pools across distinct HTTP/HTTPS hosts.,,
v2_case_103_starlette_starlette_cat_b,starlette,starlette.Starlette,"Starlette application coordinates routing, middleware, and exception handling.",,
v2_case_104_fastapi_fastapi_cat_b,fastapi,fastapi.FastAPI,FastAPI application handles routing and OpenAPI schema generation.,,
v2_case_105_flask_flask_cat_b,flask,flask.Flask,"Flask WSGI application manages routing, configuration, and views.",,
v2_case_106_more-itertools_chunked_cat_b,more-itertools,more-itertools.chunked,chunked yields elements from iterable in chunks of specified size.,,
v2_case_107_cachelib_basecache_cat_b,cachelib,cachelib.BaseCache,"BaseCache provides key-value caching interface with get, set, and delete operations.",,
v2_case_108_tqdm_tqdm_cat_b,tqdm,tqdm.tqdm,tqdm decorates an iterable returning an iterator progress bar.,,
v2_case_109_virtualenv_virtualenvconfigparser_cat_b,virtualenv,virtualenv.VirtualEnvConfigParser,VirtualEnvConfigParser parses CLI flags for virtualenv creation.,,
v2_case_110_marshmallow_schema_cat_b,marshmallow,marshmallow.Schema,Schema defines serialization and deserialization rules for complex datatypes.,,
v2_case_111_requests_to_key_val_list_cat_c,requests,requests.to_key_val_list,"to_key_val_list accepts dictionary-like items and yields (k, v) pairs using collections.Mapping.",,
v2_case_112_click_clirunner_cat_c,click,click.CliRunner,CliRunner requires click._unicodefun to configure terminal streams.,,
v2_case_113_urllib3_httpresponse_cat_c,urllib3,urllib3.HTTPResponse,HTTPResponse exposes getheaders() method for HTTP header list inspection.,,
v2_case_114_starlette_servererrormiddleware_cat_c,starlette,starlette.ServerErrorMiddleware,ServerErrorMiddleware catches starlette.types.Receive exceptions according to ASGI 2.0.,,
v2_case_115_pluggy_hookimpl_cat_c,pluggy,pluggy.HookImpl,HookImpl inspects static function attributes via varnames property for hook matching.,,
v2_case_116_celery_task_cat_c,celery,celery.Task,Task inspects celery.task global module for worker registry discovery.,,
v2_case_117_marshmallow_field_cat_c,marshmallow,marshmallow.Field,Field uses marshmallow.pprint for debugging serialization structures.,,
v2_case_118_fastapi_apiroute_cat_c,fastapi,fastapi.APIRoute,APIRoute delegates request schema parsing directly to pydantic.v1.BaseModel internals.,,
v2_case_119_httpx_httptransport_cat_c,httpx,httpx.HTTPTransport,HTTPTransport passes proxies dict directly to httpcore connection pool.,,
v2_case_120_jinja_environment_cat_c,jinja,jinja.Environment,Environment imports Markup and escape from jinja2 directly.,,
v2_case_121_virtualenv_pipinstall_cat_c,virtualenv,virtualenv.PipInstall,PipInstall expects legacy get_installed_distributions from setuptools.,,
v2_case_122_tqdm_gather_cat_c,tqdm,tqdm.gather,tqdm.asyncio.gather delegates to asyncio.gather without return_exceptions propagation.,,
v2_case_123_cachelib_rediscache_cat_c,cachelib,cachelib.RedisCache,RedisCache passes decode_responses=False to raw redis-py connection pool.,,
v2_case_124_werkzeug_rulematcher_cat_c,werkzeug,werkzeug.RuleMatcher,RuleMatcher imports url_decode from werkzeug.urls directly.,,
v2_case_125_flask_render_template_cat_c,flask,flask.render_template,render_template expects _app_ctx_stack.top to access active Flask application.,,
